message_id,date,text,tags,tweet_lang,source,place,geom,retweets,tweet_favorites,photo_url,quoted_status_id,user_id,user_name,user_location,followers,friends,user_favorites,status,user_lang,latitude,longitude,data_source,corona_related
1337835245886795776,2020-12-12 19:02:33,BREAKING: Trump Announces &quot;Medical Miracle&quot; On COVID-19 https://t.co/I8XQ3dNfJg,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cerritos, CA",0103000020E61000000100000005000000195932C7F2865DC0B1DCD26A48EC4040195932C7F2865DC0F165A208A9F140400EF3E505D8815DC0F165A208A9F140400EF3E505D8815DC0B1DCD26A48EC4040195932C7F2865DC0B1DCD26A48EC4040,0,0,,-1.0,540274527,FilBapGloMin,USA,17,47,124,11573,,,,{3},True
1307031702162690048,2020-09-18 19:00:15,"I bought a small amount of this fabric to make a mask for myself and my husband. If there's enough interest I'll buy more. #vote2020 #maskson #maskup @ Cape Coral, Florida https://t.co/kDoVMDaDVq","vote2020,maskson,maskup",en,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Cape Coral, FL",0101000020E61000007B14AE47E17E54C088855AD3BCA33A40,0,0,,-1.0,2373814405,thetravelblonde,"Cape Coral, FL",4949,5500,2465,36555,,,,{3},True
1318307819486150663,2020-10-19 21:47:31,"As a Persian, I can add a few more to that 🤦🏻‍♀️  #COVID19 #BidenHarris2020 #GlobalWarming https://t.co/ll3K0zoP4d","COVID19,BidenHarris2020,GlobalWarming",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Manhattan, NY",0103000020E61000000100000005000000BB270F0BB58152C07DCB9C2E8B574440BB270F0BB58152C0E2E5E95C517044401381EA1F447A52C0E2E5E95C517044401381EA1F447A52C07DCB9C2E8B574440BB270F0BB58152C07DCB9C2E8B574440,0,0,http://pbs.twimg.com/media/EkuR-T5X0AQxivz.jpg,-1.0,876276477234339840,p_terraf,"Manhattan, NY",140,328,249,96,,,,{3},True
1337941038883889157,2020-12-13 02:02:56,Y’all really feel some type of way because Ashanti caught Covid 😭 get over it.,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Durham, NC",0103000020E61000000100000005000000CCB392567CC053C0D9B45208E4EE4140CCB392567CC053C0AFB321FFCC0E4240FBCDC47421B253C0AFB321FFCC0E4240FBCDC47421B253C0D9B45208E4EE4140CCB392567CC053C0D9B45208E4EE4140,0,0,,-1.0,1482742718,youlove_shaneka,252 📍919,1229,1066,5272,55531,,,,{3},True
1429353227988918276,2021-08-22 08:02:20,@Sleepyhead0402 @fluterbat @jess69781 We got some hater cry babies,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Conway, AR",0103000020E610000001000000050000009468C9E3692257C031B77BB94F8241409468C9E3692257C0F5BEF1B5679041401D03B2D7BB1457C0F5BEF1B5679041401D03B2D7BB1457C031B77BB94F8241409468C9E3692257C031B77BB94F824140,0,0,,-1.0,4673908633,KarbonNox8894,Conway ark,32,356,55,99,,,,{3},True
1318118241357590531,2020-10-19 09:14:12,#EndSWAT #EndSARS #EndPoliceBrutalityinNigeria #EndBadGovernanceinNIGERIA #EndSafeDeltaNow #EndNASS #EndBadGoveranceInNigeria #SARSMUSTEND,"EndSWAT,EndSARS,EndPoliceBrutalityinNigeria,EndBadGovernanceinNIGERIA,EndSafeDeltaNow,EndNASS,EndBadGoveranceInNigeria,SARSMUSTEND",und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","San Francisco, CA",0103000020E610000001000000050000000C772E8CF4A05EC0BF0E9C33A2DA42400C772E8CF4A05EC069E4F38AA7EA4240202A8D98D9965EC069E4F38AA7EA4240202A8D98D9965EC0BF0E9C33A2DA42400C772E8CF4A05EC0BF0E9C33A2DA4240,0,0,,1.3181111000812626e+18,853673600683040768,jshottie,Nigeria,308,355,18225,3021,,,,{3},True
1328869565988827140,2020-11-18 01:16:08,"@half_wheel Thank you, honey. #teachingduringcovid #exhausted","teachingduringcovid,exhausted",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Carmel, IN",0103000020E61000000100000005000000B554DE8E708F55C05B43A9BD88F64340B554DE8E708F55C0102043C70E0044400A9FAD83838155C0102043C70E0044400A9FAD83838155C05B43A9BD88F64340B554DE8E708F55C05B43A9BD88F64340,0,0,,-1.0,523315571,goody_wheeler,,857,772,18962,9949,,,,{3},True
1329417975221383168,2020-11-19 13:35:19,"📍Our Pop-up Assessment Centre is at the Global Kingdom Ministries (1250 Markham Rd) today until 4pm! 

Drop by for walk-in #COVID19 testing.

Stay tuned for additional dates and locations: https://t.co/3P54xfcvLI https://t.co/QTE1x0xh2x",COVID19,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Global Kingdom Ministries,0103000020E610000001000000050000000E2DB29DEFCE53C0FC19DEACC1E345400E2DB29DEFCE53C0FC19DEACC1E345400E2DB29DEFCE53C0FC19DEACC1E345400E2DB29DEFCE53C0FC19DEACC1E345400E2DB29DEFCE53C0FC19DEACC1E34540,0,0,http://pbs.twimg.com/media/EnMKl9IXYAE7xeK.jpg,-1.0,59138395,SHNcares,"Scarborough, Ontario",7156,1541,1438,6823,,,,{3},True
1429846973968957448,2021-08-23 16:44:18,"@US_FDA @FDACBER @SESAMEcampaign I am not stupid , I am relentless, & I don’t like doctors who f with children’s heads . Its completely reasonable based on your history & organizational silence jeopardizing , & sabotaging the USA in general populations Public Health long before Covid",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","North Olmsted, OH",0103000020E61000000100000005000000FAB31F29227E54C06D6FB72407B04440FAB31F29227E54C005BF0D315EB94440183F8D7BF37754C005BF0D315EB94440183F8D7BF37754C06D6FB72407B04440FAB31F29227E54C06D6FB72407B04440,0,0,,-1.0,1228073435571593222,calvey_donna,"North Olmsted, OH ",315,340,7959,46318,,,,{3},True
1329106608991907840,2020-11-18 16:58:03,This why we can't get a handle on this thing. She should know better than most. #COVID19,COVID19,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Youngstown, OH",0103000020E61000000100000005000000344C6DA9832D54C06211C30E63864440344C6DA9832D54C039268BFB8F944440A3AF20CD582454C039268BFB8F944440A3AF20CD582454C06211C30E63864440344C6DA9832D54C06211C30E63864440,0,0,,1.32908648488482e+18,3421339079,mo2dmax,"Youngstown, OH",600,337,34030,63253,,,,{3},True
